*T 3/4
*K F Major
*M simple triple
*P 1000.0
Note	0	1000	60
Note	1000	2000	60
Note	2000	3500	69
Note	3500	4000	70
Note	4000	5000	72
Note	5000	6500	67
Note	6500	7000	69
Note	7000	8000	70
Note	8000	9000	74
Note	9000	10000	72
Note	10000	11000	69
Note	12000	13000	69
Note	13000	13500	69
Note	13500	14000	67
Note	14000	15000	67
Note	15000	15500	69
Note	15500	16000	71
Note	16000	17000	74
Note	17000	18000	72
Note	18000	18500	71
Note	18500	19000	69
Note	19000	19750	69
Note	19750	20000	67
Note	20000	21000	62
Note	21000	21500	65
Note	21500	22000	64
Note	22000	23000	60
Note	24000	25000	60
Note	25000	25750	60
Note	25750	26000	67
Note	26000	27000	67
Note	27000	28000	69
Note	28000	29000	67
Note	29000	30000	65
Note	30000	31000	60
Note	31000	32000	70
Note	32000	33000	70
Note	33000	34000	72
Note	34000	36000	69
Note	36000	37000	65
Note	37000	38000	65
Note	38000	39000	67
Note	39000	40000	69
Note	40000	41000	72
Note	41000	42000	70
Note	42500	43000	67
Note	43000	44000	67
Note	44000	45000	69
Note	45000	46000	71
Note	46000	47000	74
Note	47000	48000	72
Note	48500	49000	72
Note	49000	50000	72
Note	50000	51000	74
Note	51000	52000	76
Note	52000	53000	79
Note	53000	54500	77
Note	54500	55000	72
Note	55000	56000	76
Note	56000	57000	74
Note	57000	58000	70
Note	58000	59000	69
Note	60000	61000	69
Note	61000	62000	67
Note	62000	63500	76
Note	63500	64000	74
Note	64000	65000	72
Note	65000	66000	60
Note	66000	67000	60
Note	67000	68000	70
Note	68000	69000	69
Note	69000	70000	67
Note	70000	72000	65
