Reference OTL: DEM EWGEN UNSERE LIEDER
Reference ARE: Europa, Mitteleuropa, Deutschland
Reference SCT: B0767
Reference YEM: Copyright 1995, estate of Helmut Schaffrath.
Info keysig 3 sharps
Info key E-flat Major
Note	0	1000	70
Note	1000	2500	75
Note	2500	3000	74
Note	3000	3500	72
Note	3500	4000	70
Note	4000	4750	70
Note	4750	5000	68
Note	5000	6000	67
Note	6000	7000	70
Note	7000	7750	75
Note	7750	8000	72
Note	8000	9000	70
Note	9000	9500	74
Note	9500	10000	72
Note	10000	11000	70
Note	12000	13000	70
Note	13000	14500	75
Note	14500	15000	74
Note	15000	15500	72
Note	15500	16000	70
Note	16000	16750	70
Note	16750	17000	68
Note	17000	18000	67
Note	18000	19000	70
Note	19000	19750	75
Note	19750	20000	72
Note	20000	21000	70
Note	21000	21500	74
Note	21500	22000	72
Note	22000	23000	70
Note	24000	24500	70
Note	24500	25000	74
Note	25000	26500	77
Note	26500	27000	77
Note	27000	27500	77
Note	27500	28000	75
Note	28000	28750	75
Note	28750	29000	74
Note	29000	30000	74
Note	30000	31000	72
Note	31000	32500	70
Note	32500	32750	72
Note	32750	33000	70
Note	33000	33500	68
Note	33500	34000	67
Note	34000	35000	67
Note	35000	36000	65
Note	36000	37000	70
Note	37000	38500	75
Note	38500	39000	74
Note	39000	39500	72
Note	39500	40000	70
Note	40000	40750	70
Note	40750	41000	68
Note	41000	42000	67
Note	42000	43000	75
Note	43000	43750	77
Note	43750	44000	77
Note	44000	45000	75
Note	45000	46000	74
Note	46000	47500	75
Note	48000	48500	67
Note	48500	49000	68
Note	49000	49750	70
Note	49750	50000	68
Note	50000	51000	67
Note	51000	52000	65
Note	52000	54000	63
Reference AGN: religioes
Reference ONB: ESAC (Essen Associative Code) Database: BOEHME
Reference AMT: simple triple
Reference AIN: vox
Reference EED: Helmut Schaffrath
Reference EEV: 1.0
